fit time,MAE,RMSE,p,d,q,P,D,Q,s,t
2.3090459290000354,5.427225086618461,7.146002268526256,1,0,1,2,1,2,2,c
2.3645209149999573,5.412172750893287,7.155548709126529,1,0,1,2,1,2,2,n
2.406575325999995,5.458828190597081,7.205995023889433,1,0,1,2,1,2,2,t
2.468314324000005,5.493876270949366,7.2300128692288705,1,0,1,2,1,2,2,ct
2.505149734999975,5.442526716072514,7.215325524731048,1,0,1,2,1,2,4,c
2.7627387499999827,5.420444943031814,7.279182935385845,1,0,1,2,1,2,6,c
4.173760458000004,5.761181081463598,7.636566052873469,1,0,1,2,1,2,12,c
255.36426516399996,7.130720858174321,9.423939067464081,1,0,1,2,1,2,52,c
